# com:COM5 start:1 end:15
# Measurement start time:2017/10/02 14:46:57
# Tartget Serial no.    : 10ST01    
# Tartget Model no.     : 0x0024
# Tartget FW Ver.       : 0x0001
# Tartget IF Ver.       : 0x0002
# Tartget Board Number. : 15
# Tartget Sensor Number.: 16
# Acquisitions Number.  : 128
SBN,CN,x,y,z,T
01,01,0x0000C3DA,0xFFFFEE44,0x00001224,0xB3E2
01,02,0x00011A16,0x00002551,0x00003311,0xB3F6
01,03,0x0000B289,0xFFFFDDFB,0x00004C5B,0xB3DE
01,04,0x000105D2,0x00001106,0x00002A26,0xB3D8
01,05,0x0000B368,0xFFFFFC86,0x00002A42,0xB3CC
01,06,0x0000E10F,0xFFFFFD83,0x000038A9,0xB3AF
01,07,0x0000F9BB,0xFFFFD816,0x00004692,0xB3F6
01,08,0x0000D4DB,0xFFFFD3C2,0x00003F54,0xB3E7
01,09,0x0000AE5B,0x00000CA8,0x00002D05,0xB428
01,10,0x0000CB6C,0xFFFFCE4A,0x00003101,0xB3FE
01,11,0x0000DA64,0xFFFFFD67,0x00002CA4,0xB3F2
01,12,0x0000C8EA,0xFFFFF5E8,0x00003BE9,0xB404
01,13,0x0000C169,0xFFFFC329,0x000037C3,0xB3C3
01,14,0x0000A79D,0xFFFF973C,0x00005000,0xB3EF
01,15,0x0000A2E1,0x00003B10,0x00001C83,0xB3E3
01,16,0x0000AD89,0xFFFFDBCB,0x000042A8,0xB3F1
01,17,0x00000000,0x00000000,0x00000000,0x0000
01,18,0x00000000,0x00000000,0x00000000,0x0000
01,19,0x00000000,0x00000000,0x00000000,0x0000
01,20,0x00000000,0x00000000,0x00000000,0x0000
01,21,0x00000000,0x00000000,0x00000000,0x0000
01,22,0x00000000,0x00000000,0x00000000,0x0000
01,23,0x00000000,0x00000000,0x00000000,0x0000
01,24,0x00000000,0x00000000,0x00000000,0x0000
01,25,0x00000000,0x00000000,0x00000000,0x0000
01,26,0x00000000,0x00000000,0x00000000,0x0000
01,27,0x00000000,0x00000000,0x00000000,0x0000
01,28,0x00000000,0x00000000,0x00000000,0x0000
01,29,0x00000000,0x00000000,0x00000000,0x0000
01,30,0x00000000,0x00000000,0x00000000,0x0000
01,31,0x00000000,0x00000000,0x00000000,0x0000
01,32,0x00000000,0x00000000,0x00000000,0x0000
02,01,0x0000EDE8,0xFFFFEB09,0x00004558,0xB3F5
02,02,0x0000DA2A,0xFFFFE5DB,0x00002B4B,0xB422
02,03,0x0000B7C8,0xFFFFE378,0x000035A1,0xB3C7
02,04,0x00013113,0x00001976,0x000037CD,0xB3B5
02,05,0x0000C8AA,0x000036E0,0x00005167,0xB3AD
02,06,0x000117FF,0x000079B9,0x00000A1D,0xB3AB
02,07,0x0000E198,0xFFFFEF63,0x00003FC5,0xB414
02,08,0x0000B514,0xFFFFEA9C,0x00004F01,0xB3E8
02,09,0x0000C915,0x00000B57,0x00002503,0xB3D4
02,10,0x00010B0F,0xFFFFE011,0x00004BF2,0xB3D6
02,11,0x0000ABB2,0xFFFFEA1F,0x000005F8,0xB3F9
02,12,0x00011754,0xFFFFED02,0x00003884,0xB3B5
02,13,0x0000D8A4,0xFFFFFB58,0x000038D3,0xB40D
02,14,0x0000B68B,0xFFFFD57E,0x0000483C,0xB3DD
02,15,0x0000A0B7,0xFFFFF47D,0x00003916,0xB3E9
02,16,0x0000B33E,0x00001803,0x000018E5,0xB41B
02,17,0x00000000,0x00000000,0x00000000,0x0000
02,18,0x00000000,0x00000000,0x00000000,0x0000
02,19,0x00000000,0x00000000,0x00000000,0x0000
02,20,0x00000000,0x00000000,0x00000000,0x0000
02,21,0x00000000,0x00000000,0x00000000,0x0000
02,22,0x00000000,0x00000000,0x00000000,0x0000
02,23,0x00000000,0x00000000,0x00000000,0x0000
02,24,0x00000000,0x00000000,0x00000000,0x0000
02,25,0x00000000,0x00000000,0x00000000,0x0000
02,26,0x00000000,0x00000000,0x00000000,0x0000
02,27,0x00000000,0x00000000,0x00000000,0x0000
02,28,0x00000000,0x00000000,0x00000000,0x0000
02,29,0x00000000,0x00000000,0x00000000,0x0000
02,30,0x00000000,0x00000000,0x00000000,0x0000
02,31,0x00000000,0x00000000,0x00000000,0x0000
02,32,0x00000000,0x00000000,0x00000000,0x0000
03,01,0x0000CD78,0xFFFFC82B,0x00004DA0,0xB3F5
03,02,0x000119E2,0xFFFFF13D,0x000033EA,0xB3DF
03,03,0x00010022,0x0000030A,0x00004247,0xB414
03,04,0x0000ED55,0xFFFFFE1D,0x00002399,0xB3F2
03,05,0x000114A5,0xFFFFFAB5,0x00006108,0xB398
03,06,0x0000F2CC,0xFFFFF152,0x00002736,0xB3DE
03,07,0x00011FCB,0xFFFFC998,0x0000493E,0xB3E8
03,08,0x000135A1,0xFFFFC829,0x000049E7,0xB3F7
03,09,0x0000F770,0xFFFFDD59,0x00003DB6,0xB402
03,10,0x00011F7A,0xFFFFC2C5,0x00003C87,0xB40C
03,11,0x0000D5D0,0x00000988,0x0000428A,0xB437
03,12,0x0000F1EF,0x00004B25,0x00002BD3,0xB419
03,13,0x0000DF44,0xFFFFAC62,0x000039C8,0xB3F2
03,14,0x0000DF51,0xFFFFCEAC,0x000050B2,0xB3F8
03,15,0x0000BE42,0x000001BF,0x00003064,0xB3D0
03,16,0x0000E3D1,0xFFFFD29C,0x00002C78,0xB3F6
03,17,0x00000000,0x00000000,0x00000000,0x0000
03,18,0x00000000,0x00000000,0x00000000,0x0000
03,19,0x00000000,0x00000000,0x00000000,0x0000
03,20,0x00000000,0x00000000,0x00000000,0x0000
03,21,0x00000000,0x00000000,0x00000000,0x0000
03,22,0x00000000,0x00000000,0x00000000,0x0000
03,23,0x00000000,0x00000000,0x00000000,0x0000
03,24,0x00000000,0x00000000,0x00000000,0x0000
03,25,0x00000000,0x00000000,0x00000000,0x0000
03,26,0x00000000,0x00000000,0x00000000,0x0000
03,27,0x00000000,0x00000000,0x00000000,0x0000
03,28,0x00000000,0x00000000,0x00000000,0x0000
03,29,0x00000000,0x00000000,0x00000000,0x0000
03,30,0x00000000,0x00000000,0x00000000,0x0000
03,31,0x00000000,0x00000000,0x00000000,0x0000
03,32,0x00000000,0x00000000,0x00000000,0x0000
04,01,0x0001022E,0x00001847,0x00004A46,0xB421
04,02,0x0000D495,0x000011E7,0x000029B5,0xB40E
04,03,0x0001030F,0x00003B5E,0x00001A43,0xB40B
04,04,0x0000ED4C,0x0000051E,0x0000502F,0xB3C4
04,05,0x0000D30A,0x0000248E,0x00001302,0xB3A1
04,06,0x0000FFF7,0xFFFFFC05,0x00005FE7,0xB436
04,07,0x0000F778,0xFFFFBAF5,0x000068AF,0xB453
04,08,0x00011DDC,0xFFFFBE2E,0x00004EE0,0xB3EA
04,09,0x0000F3E6,0xFFFFFD06,0x00003394,0xB3DD
04,10,0x0000D4E6,0xFFFFFCEB,0x000041A5,0xB445
04,11,0x00010D95,0x00001348,0x00002D06,0xB3F5
04,12,0x0000CAE1,0xFFFFB01B,0x000039F9,0xB41C
04,13,0x0000E930,0x00001C04,0x00004351,0xB437
04,14,0x00012152,0x0000002F,0x000042D8,0xB3CD
04,15,0x0000D764,0xFFFFDB5C,0x0000385C,0xB399
04,16,0x00010643,0xFFFFD897,0x00002847,0xB3B1
04,17,0x00000000,0x00000000,0x00000000,0x0000
04,18,0x00000000,0x00000000,0x00000000,0x0000
04,19,0x00000000,0x00000000,0x00000000,0x0000
